Material No,Price,BQ No,Quantity
350107010S,"27,475.00",177,164
350115020S,"26,417.00","3,260","3,040"
350SPGT00S,"15,782.00","3,393","3,132"
350SPH900S,"14,537.00",15,4
350SWP900S,"26,533.00",1,0
355SPS900S,"28,510.00",184,84
355SRM840S,"17,299.00","1,449","1,313"
361437000S,"13,898.00",58,58
361GFM900S,"16,499.00",1,0
361SCC900S,"17,022.00",142,115
361SPGT00S,"17,216.00",705,516
361SPS900S,"28,899.00",223,1
361SST940S,"16,869.00",22,22
366SSP910S,"14,944.00",3,3
401GF6000S,"25,831.00",800,720
401SGG910S,"23,487.00",12,0
401SPH900S,"21,417.00",186,155
401SRM840S,"13,856.00",180,150
401STP901S,"18,093.00",270,200
530SWP900S,"27,583.00",12,0
535SPH901S,"26,312.00",124,101
631HF7003S,"27,844.00",233,227
804148000S,"22,877.00",650,220
810198000S,"22,132.00",32,27
810SBB900S,"22,969.00",4,4
810STC900S,"20,280.00",5,0
815166000S,"16,265.00","5,350","5,300"
847166000S,"22,957.00",50,50
870198900S,"20,059.00",390,300
870SAG900S,"13,829.00",155,155
870SCC900S,"26,455.00","19,480","18,200"
870SFN850S,"28,610.00",610,650
870SRC900S,"10,468.00",760,565
870SRY860S,"14,606.00",90,80
870SRY900S,"29,964.00",460,320
870SRY970S,"16,159.00",181,95
870STC900S,"17,226.00","7,470","6,450"
870STCA00S,"20,857.00",290,160
870STN700S,"14,092.00","1,225","1,125"
870STN950S,"22,697.00",501,432
870STR940S,"25,946.00",98,85
870SVE860S,"14,194.00",324,178
870SVE900S,"21,237.00","2,350","1,980"
70SVH900AS,"25,197.00",34,0
870SVN900S,"17,285.00","2,960","2,790"
870SWA910S,"18,164.00",360,260
870SWA940S,"27,998.00",610,520
870SWH970S,"19,980.00",170,130
870SZJ900S,"18,381.00",13,10
871116670S,"14,425.00",10,10
22S130HS,"29,777.00","8,300","7,600"
22S141HS,"21,275.00",148,134
22S150S,"10,385.00",441,423
22S160S,"24,128.00",129,129
22S170S,"20,276.00",595,586
22S180S,"16,800.00",21,16
22S190S,"10,615.00",22,22
100SPH900S,"18,273.00",114,95
112198010S,"21,806.00",195,195
120GN5912S,"18,112.00",52,40
121SBB900S,"24,235.00",116,111
21SEH900RS,"23,128.00",28,25
121SRC921S,"29,723.00",26,21
121SST901S,"29,130.00","4,840","4,600"
121STN900S,"20,421.00",165,103
121SVE860S,"17,352.00",20,19
123SGH900S,"16,702.00","1,137",931
205SRP982S,"29,704.00",53,2
210SSP910S,"17,780.00",10,10
211GF6000S,"28,853.00",88,86
211SCT690S,"22,832.00",7,7
211SHA940S,"24,684.00",1,0
211SST940S,"24,144.00",2,0
211STC900S,"26,381.00",32,32
211STR940S,"15,229.00",2,0
216GF6000S,"24,612.00",800,200
17GF6000HS,"24,423.00",20,20
220SRE790S,"12,269.00",4,4
220STN900S,"25,715.00",7,7
220SVN970S,"21,691.00",1,1
221GF6000S,"11,532.00",133,132
221SCT690S,"14,159.00",23,11
221SRY900S,"18,372.00",10,10
221STC900S,"22,078.00",17,17
221STR940S,"27,130.00",13,12
224SRP980S,"11,110.00",42,25
225SPH900S,"29,639.00",340,330
226SPH900S,"19,536.00",375,345
233SPH900S,"19,904.00",15,5
238SPH900S,"26,774.00",10,10
411SPH900S,"11,374.00",34,33
411SWP900S,"29,886.00",2,2
421GB4770S,"19,761.00",16,12
421GCC000S,"11,574.00",62,59
421SSP910S,"16,222.00",11,0
421STC900S,"28,087.00",11,6
421SVN900S,"26,551.00",14,14
422GB4770S,"17,332.00",3,0
422GCC000S,"25,413.00",71,58
427SW1900S,"27,050.00",4,4
430SPH901S,"14,100.00",14,12
430SWP900S,"11,660.00",2,2
431GF6000S,"23,384.00",267,214
431GN5910S,"20,931.00",26,10
431SPH900S,"18,643.00",15,13
431SRM840S,"26,092.00",25,0
431SVN900S,"14,776.00",12,12
432SSP910S,"11,777.00",8,1
441GB4770S,"28,223.00",140,130
441SBB900S,"29,083.00",2,2
441SRM840S,"19,979.00",72,0
441STC901S,"20,133.00",19,19
441SVN900S,"27,227.00",17,17
451GB4770S,"12,137.00",119,101
451GS4760S,"14,917.00",45,45
451SBB900S,"24,064.00",16,16
451SRY970S,"21,552.00",5,5
451SST940S,"10,915.00",3,3
451STC901S,"15,868.00",68,50
451STN900S,"25,372.00",118,0
451SVN900S,"27,387.00",129,129
461GF6000S,"24,627.00",212,163
461GS4760S,"28,153.00",157,153
461SFN880S,"11,650.00",2,2
461SST940S,"22,558.00",11,11
461STC901S,"20,725.00",98,89
461SVN900S,"27,024.00",154,150
471GF6000S,"28,449.00",43,41
471GN5910S,"27,405.00",51,51
471SCN000S,"15,587.00",2,2
471STC902S,"20,749.00",66,49
471SVN900S,"16,120.00",108,106
472SSP910S,"23,263.00",1,1
481GB4770S,"15,796.00",7,7
481GF6000S,"23,250.00",18,8
481HF7000S,"24,894.00",5,3
481SCN000S,"18,365.00",12,12
481STC902S,"27,910.00",58,58
481STN901S,"24,784.00",68,0
481SVN900S,"27,774.00",51,49
491SCN000S,"11,959.00",2,2
491SSP910S,"27,205.00",20,0
491SVN900S,"14,305.00",73,71
492SSP910S,"22,321.00",1,1
501SCN000S,"18,029.00",4,4
501SRY900S,"29,561.00",5,5
501SVN900S,"22,869.00",25,23
11SCN010HS,"27,979.00",12,11
511SRY900S,"19,698.00",25,18
511SRY970S,"13,199.00",2,2
801178000S,"15,690.00","3,705",684
801GF6000S,"27,445.00","6,160","6,060"
801SCT690S,"14,467.00",590,536
801SRE850S,"16,455.00",12,2
801SRY970S,"23,574.00",70,0
801SSP910S,"25,181.00",198,60
802040000S,"14,305.00",430,330
811SR3600S,"24,929.00",20,0
23S140HS,"18,650.00",120,110
23S240HS,"15,731.00",480,480
23S250S,"24,940.00",1,0
11GF6000RS,"12,393.00",180,70
211SRM840S,"28,928.00",4,3
211STC900S,"17,148.00",51,49
211SW1900S,"13,437.00",7,0
212SRM840S,"23,200.00",22,18
212STC900S,"10,050.00",28,21
241SPH900S,"27,314.00",4,0
241SRM840S,"27,587.00",2,0
242SRM840S,"23,975.00",2,2
61028010HS,"14,879.00",200,200
263028000S,"21,190.00",20,20
301198900S,"15,890.00",50,40
301SCN000S,"28,573.00",2,2
301SSP910S,"19,822.00",125,122
301STC900S,"18,179.00",34,29
301SWA930S,"14,499.00",3,3
410SSP860S,"21,107.00",5,3
410SSP910S,"21,585.00",2,2
410STC900S,"15,116.00",16,16
411198900S,"15,910.00",40,30
411GB4770S,"25,806.00",40,40
421200000S,"11,325.00",80,80
421STC900S,"21,917.00",8,8
425198900S,"21,790.00",25,20
430SST900S,"23,419.00","1,320","1,110"
430STC900S,"13,775.00",195,145
430STN900S,"15,499.00",50,50
430SW1900S,"10,710.00",25,25
435GB4770S,"24,149.00",10,10
435HF7000S,"20,282.00",80,60
435SRC920S,"10,286.00",10,10
435STC900S,"20,374.00",7,2
436SRM840S,"18,753.00",5,0
610GF6000S,"16,239.00",670,650
610GN5900S,"23,562.00",59,33
610SC6000S,"20,053.00",44,18
610SSP910S,"28,369.00",168,49
610SST940S,"11,470.00",55,45
610STR940S,"16,614.00",653,204
621107760S,"21,640.00",40,40
639SPGT00S,"17,087.00",2,2
641041000S,"15,993.00",140,100
641STC900S,"13,672.00",136,10
51035000HS,"25,251.00",140,140
651107000S,"27,490.00",60,20
651SRC920S,"29,769.00",20,10
651SSP910S,"14,339.00","2,450","1,660"
651STC900S,"26,002.00",280,49
652035000S,"19,824.00",10,0
652SPH900S,"12,755.00",17,11
652SSP910S,"25,354.00",10,10
700SAG900S,"18,369.00",14,14
700SFN850S,"24,300.00",50,46
700SVE900S,"11,019.00",224,209
700P11900S,"14,985.00",71,56
701SCC900S,"23,970.00",869,592
701SFN850S,"14,391.00",5,5
701SFV760S,"22,450.00",8,8
701SRY970S,"29,458.00",10,4
701SST940S,"17,546.00",13,13
701SST950S,"27,827.00",10,10
701STC900S,"10,553.00",137,119
701STN700S,"10,414.00",54,54
701STRA00S,"20,919.00",42,40
701SVE900S,"22,752.00",17,17
701SWA940S,"14,076.00",33,33
70ASRC900S,"21,068.00",7,7
710SZJ900S,"24,372.00",1,1
720SFN850S,"15,424.00",10,0
781SR3770S,"25,910.00",10,10
24S150HS,"18,315.00","6,450","6,410"
24S160S,"17,796.00","2,650","2,520"
24S170S,"19,282.00","1,301","1,267"
24S180S,"27,647.00",223,220
24S190S,"17,792.00",121,114
24S200S,"21,326.00",133,133
25S160S,"23,594.00","18,100","17,150"
25S170S,"28,973.00","14,800","12,140"
25S180S,"11,473.00",357,296
26S170HS,"13,595.00","8,200","7,450"
26S180S,"21,504.00",720,560
26S190S,"13,688.00",176,156
26S200S,"12,747.00",366,376
26S201S,"27,761.00",220,220
26S210S,"15,648.00",341,342
26S220S,"24,864.00",352,284
26S230S,"11,658.00",312,222
26S240S,"18,101.00",1,1
27S180HS,"23,698.00","1,630","1,350"
27S181S,"25,933.00","7,500","5,760"
27S182S,"18,654.00","6,840","5,760"
101SWA940S,"24,264.00",254,195
102SWA940S,"18,068.00",20,20
103GB4700S,"18,820.00",40,40
110SEV900S,"24,226.00",18,0
110SEW900S,"26,658.00",19,18
110STC921S,"20,517.00",13,12
110STN900S,"11,854.00",5,5
110SWA940S,"26,881.00",29,29
120SPH901S,"24,861.00",62,32
120SRM851S,"13,567.00",15,14
20STRA00AS,"17,613.00",15,8
120SWA941S,"19,051.00",65,48
25SFC791HS,"23,675.00",22,22
130SFB000S,"26,433.00",3,3
131STC920S,"20,955.00",31,16
131STN900S,"10,862.00",8,8
132SPH900S,"20,701.00",18,10
133SPH900S,"21,677.00",4,0
140SFB000S,"27,224.00",2,2
142SW1900S,"15,586.00",6,0
150SPH900S,"13,213.00",10,10
211178000S,"18,127.00",2,2
211GF6000S,"28,915.00",61,39
211SCT690S,"13,264.00",65,65
211SHA940S,"11,786.00",12,11
211SRM840S,"19,155.00",2,2
211STC900S,"15,538.00",2,2
221198010S,"22,439.00",66,64
221437000S,"24,757.00",93,93
221SCJ710S,"23,041.00",39,22
221STC900S,"27,863.00",5,1
221STN900S,"16,459.00",2,1
223GCC000S,"18,730.00",80,30
223SRM840S,"15,953.00",20,20
230STP900S,"21,673.00","1,131",797
230SVT900S,"19,330.00",122,38
231SRM840S,"14,883.00",3,3
241STN700S,"11,495.00",5,0
241SZJ900S,"15,535.00",1,0
250STP900S,"15,044.00",116,104
250SVT900S,"19,574.00",19,0
251GBG850S,"25,833.00",8,8
251GF6000S,"26,382.00","1,090","1,040"
251SFN850S,"12,597.00",6,6
251STC900S,"20,017.00",27,22
251STN900S,"19,888.00",16,12
253397000S,"22,720.00",10,0
253SCJ710S,"26,813.00",8,5
253SPH900S,"19,029.00",40,10
253SVT900S,"24,003.00",30,0
255SPH900S,"19,328.00",10,10
261198000S,"23,855.00","2,600","2,570"
261SCJ710S,"18,334.00",600,500
261SRM840S,"12,892.00",160,20
262198000S,"22,766.00",9,1
265SPH900S,"11,893.00",5,0
271SPH900S,"21,547.00",231,16
281GCC000S,"11,002.00",120,75
281SPH900S,"26,969.00",734,490
300GBG850S,"11,976.00",48,40
300SFN850S,"23,337.00",95,85
300SPH900S,"18,537.00",33,31
300SRC900S,"18,067.00",80,34
300SRY860S,"24,057.00",1,1
300SRY900S,"27,185.00",9,9
300SST920S,"12,888.00",2,2
300STN700S,"12,982.00",57,31
300STN760S,"28,016.00",7,7
300SVE900S,"15,881.00",38,34
300SVN900S,"28,412.00",7,7
300SVT900S,"22,748.00",21,3
301SZJ900S,"16,102.00",1,0
302SAG900S,"13,889.00","1,920","1,890"
302STC900S,"26,691.00",49,14
307SFN850S,"25,266.00",21,11
30A198740S,"15,034.00",26,22
30ASAG900S,"16,374.00","1,704","1,519"
30ASSTA10S,"26,396.00",2,2
30ASTC900S,"10,732.00",95,73
30ASTR840S,"20,482.00",7,0
30ASVH850S,"16,135.00",10,10
30ASWA940S,"15,240.00",15,15
30ASWH760S,"14,394.00",4,4
311SC5000S,"24,832.00",225,60
321STC900S,"19,774.00",5,5
333300000S,"25,179.00",40,40
28S190HS,"24,875.00","1,630","1,480"
28S191S,"12,009.00","1,840","1,240"
28S200S,"26,544.00",169,129
28S210S,"21,554.00",536,515
28S220S,"17,978.00",79,74
28S230S,"21,223.00",218,192
28S240S,"16,016.00",46,46
28S250S,"21,790.00",39,29
28S260S,"10,570.00",86,70
28S270S,"28,287.00",32,25
28S280S,"13,270.00",6,6
28S290S,"23,090.00",7,2
28S300S,"21,851.00",26,16
28S310S,"15,127.00",10,10
29S200S,"19,042.00",10,0
29S210S,"12,123.00",760,580
29S300S,"23,910.00","3,440","3,180"
301198303S,"17,053.00",111,111
301198902S,"19,686.00",174,0
301198905S,"25,129.00",46,46
301GBG840S,"13,550.00",5,5
401SFN851S,"27,349.00",1,1
401STE910S,"13,375.00",5,5
401STN901S,"16,425.00",5,5
401SVE901S,"14,691.00",40,0
410GB6920S,"15,020.00",30,30
410SCC900S,"21,167.00",123,119
410SFN851S,"26,648.00",15,10
410SRC900S,"12,332.00",61,9
410SRY900S,"20,823.00",26,19
410SST921S,"12,723.00",24,22
410SST941S,"22,734.00",268,214
410STC900S,"10,614.00",577,531
410STCA21S,"29,847.00",51,30
410STN901S,"20,191.00",92,29
410STP890S,"25,537.00",72,44
410STP951S,"17,277.00",21,11
410STRA01S,"25,735.00",44,12
410SVE861S,"27,652.00",16,10
410SVE901S,"13,519.00",99,52
410SVH901S,"20,392.00",9,0
410SVN901S,"18,903.00",59,23
410SWA931S,"16,537.00",53,38
410SWH961S,"13,478.00",9,8
410SWP901S,"13,637.00",7,2
410SZJ901S,"28,551.00",7,2
500198900S,"22,895.00",27,27
500SCC690S,"25,613.00",19,17
500SCC710S,"29,708.00",5,5
500SCC870S,"28,299.00",38,33
500SCC900S,"13,591.00",72,63
500SCC940S,"22,468.00",136,68
500SFN850S,"20,678.00",22,22
500SRC900S,"15,627.00",23,10
500SRY861S,"11,984.00",5,0
500SRY901S,"25,451.00",42,0
500SST920S,"17,179.00",21,0
500SST940S,"18,886.00",31,5
500STC900S,"24,021.00",210,100
500STCA21S,"16,909.00",15,3
500STN900S,"29,829.00",69,0
500STRA01S,"12,072.00",42,0
500SVE861S,"12,599.00",42,0
500SVE900S,"29,496.00",32,0
500SVN900S,"10,121.00",5,5
500SVN971S,"26,577.00",2,2
500SWA930S,"18,775.00",24,0
500SZJ900S,"23,907.00",9,8
510SRY900S,"19,461.00",1,1
510SRY971S,"29,711.00",34,2
510STP891S,"12,572.00",29,28
510STR941S,"15,629.00",1,0
510SWP901S,"11,293.00",12,4
605SWP901S,"23,264.00",4,0
700098150S,"12,713.00","1,770","1,740"
700GN5900S,"19,341.00",80,20
700SFC930S,"23,078.00","1,311","1,025"
700SJ9020S,"22,422.00","1,850","1,610"
700SM1020S,"23,433.00",37,20
700SSP910S,"21,449.00",1,1
700SSPB01S,"12,244.00",10,0
700STCA21S,"19,392.00",228,146
700STP890S,"28,150.00",33,5
700STP950S,"14,620.00",25,12
700STRA01S,"14,753.00",170,0
700SWA831S,"28,928.00",8,4
700SWP901S,"24,170.00",10,10
30S110S,"25,884.00",74,59
30S210S,"17,850.00",795,110
30S310S,"17,776.00",14,10
100198900S,"27,748.00",12,12
100198D00S,"23,434.00",1,1
100GBG850S,"25,991.00",1,0
100SCC900S,"24,235.00",23,23
100SFN850S,"28,019.00",1,1
100SFN970S,"21,555.00",1,1
100SRC900S,"10,272.00",3,0
100SRY901S,"13,151.00",4,3
100SSP911S,"13,792.00",6,2
100SSPB01S,"27,940.00",4,0
100SST870S,"16,743.00",2,2
100SST920S,"21,205.00",11,0
100SST941S,"18,653.00",3,0
100STC900S,"10,681.00",3,1
100STC920S,"21,410.00",3,0
100STN900S,"19,081.00",2,2
100STR921S,"12,116.00",1,0
100STR961S,"14,943.00",1,0
100STRA01S,"14,331.00",10,0
100SVH850S,"24,358.00",1,1
100SVH871S,"14,626.00",2,2
100SWA941S,"15,157.00",4,0
100SWH961S,"23,832.00",2,1
100SWH971S,"23,914.00",3,0
100SZN901S,"17,764.00",2,0
110198901S,"17,013.00",7,7
110198902S,"23,098.00",6,0
110198905S,"13,131.00",19,0
110SCC900S,"21,791.00",26,9
110SCC901S,"27,864.00",23,15
110SCC905S,"11,949.00",81,66
110SFN851S,"29,597.00",2,2
110SRC900S,"22,664.00",7,0
110SRY901S,"10,893.00",22,0
110SRY971S,"22,199.00",1,1
110SSP911S,"12,562.00",3,1
110SSPB01S,"25,326.00",2,0
110SST871S,"19,879.00",1,0
110SST921S,"22,099.00",1,0
110SST941S,"26,041.00",1,0
110STC902S,"26,730.00",1,0
110STP890S,"11,110.00",3,3
110STRA01S,"17,766.00",2,2
110SVH901S,"16,717.00",1,0
110SWA931S,"15,308.00",2,2
110SWA941S,"26,254.00",2,1
110SWH971S,"28,031.00",1,0
110SWP901S,"10,291.00",1,0
120198902S,"13,035.00",17,0
120198905S,"13,243.00",9,4
120GBG840S,"25,533.00",2,0
120GBG850S,"23,373.00",3,0
20SCC900BS,"26,137.00",8,2
120SCC900S,"19,991.00",54,0
20SCC901BS,"23,326.00",1,0
120SCC901S,"20,060.00",56,28
120SCC905S,"18,858.00",125,121
120SFN851S,"20,666.00",25,11
120SRC900S,"26,574.00",43,1
120SRY901S,"11,950.00",35,18
120SRY971S,"13,011.00",18,0
120SSP911S,"15,219.00",47,14
120SSPB01S,"27,791.00",9,6
120SST871S,"27,178.00",19,0
120SST941S,"23,201.00",10,8
120STC901S,"21,992.00",47,27
120STC922S,"10,166.00",26,10
120STP890S,"18,336.00",90,69
120STR901S,"15,899.00",41,0
120STR902S,"24,182.00",39,0
120STR941S,"29,537.00",22,1
120STRA01S,"12,699.00",67,46
120SVH850S,"11,381.00",7,0
120SVH871S,"16,776.00",23,0
120SVH901S,"28,201.00",3,0
120SWA931S,"26,111.00",37,31
120SWH961S,"26,261.00",3,2
120SZN900S,"28,392.00",4,0
121198303S,"19,217.00",79,48
121198902S,"10,084.00",105,0
121198905S,"25,983.00",184,134
121GBG840S,"18,340.00",1,1
122198303S,"22,070.00",5,5
122198902S,"17,799.00",5,0
122198905S,"20,329.00",7,7
122SCC900S,"26,958.00",12,0
122SCC901S,"14,054.00",5,4
200SCN003S,"17,320.00",1,1
200SSP901S,"17,729.00",78,77
200STC921S,"12,573.00",61,58
201SG8004S,"10,952.00",274,217
201SPTA01S,"20,611.00",389,83
201SPW901S,"25,792.00","3,360","2,894"
201SS5901S,"21,035.00",88,82
201MBE008S,"12,942.00",7,7
201MEW921S,"24,670.00",10,0
02GB2700HS,"17,246.00",8,8
204SG8004S,"17,742.00",67,67
204SS5901S,"29,420.00",1,1
205SWA941S,"23,997.00",30,0
206SPW901S,"27,290.00",15,12
206SW1901S,"12,050.00",19,18
208SWA941S,"26,393.00",3,3
210STP890S,"17,490.00",11,10
210SWA941S,"21,870.00",35,31
212STP890S,"23,798.00",12,0
13GB4701HS,"12,220.00",4,2
214STP890S,"14,361.00",5,0
500GBG850S,"14,869.00",4,0
500SC5000S,"19,916.00",14,0
500SCT691S,"22,746.00",2,0
00GBH870HS,"20,694.00",176,176
600SPH701S,"29,830.00",9,2
600SRC901S,"21,129.00",27,13
600SRY861S,"21,630.00",1,1
600SRY900S,"23,960.00",21,14
600SSP861S,"24,349.00",34,11
600SSP910S,"26,298.00",9,3
600STC900S,"11,319.00",44,0
600STC901S,"16,651.00",57,49
600STP890S,"18,005.00",31,15
600STRA01S,"13,556.00",37,0
600SVE900S,"22,820.00",47,12
600SVS900S,"10,746.00",17,17
600SWA831S,"24,912.00",10,10
600SWA931S,"15,997.00",8,2
600SWF841S,"25,868.00",3,3
600SWS901S,"11,017.00",11,11
600SZN901S,"24,569.00",3,2
700124000S,"23,706.00",806,658
916SPH901S,"25,146.00","5,060","4,550"
916SRM841S,"14,542.00","3,410","3,090"
16SST920AS,"20,933.00",270,260
917SPH901S,"14,770.00",23,0
31S110S,"25,410.00",30,21
31S210S,"20,758.00",37,12
100198900S,"13,727.00",44,44
100198D00S,"14,283.00",16,15
100198D10S,"10,404.00",1,1
100SCC690S,"15,359.00",12,12
100SCC710S,"16,687.00",5,5
100SCC871S,"22,232.00",19,13
100SCC900S,"25,119.00",22,22
100SCC940S,"20,244.00",37,33
100SFN850S,"26,355.00",10,9
100SFN870S,"13,421.00",4,4
100SFN970S,"20,339.00",1,0
100SRC920S,"13,431.00",4,0
100SRY860S,"24,841.00",2,1
100SRY900S,"20,393.00",10,7
100SRY970S,"13,280.00",6,2
100SST870S,"21,022.00",1,1
100SST900S,"25,967.00",2,0
100SST940S,"23,978.00",5,2
100SST950S,"12,240.00",7,5
100SSTA10S,"14,438.00",1,1
100SSTA20S,"11,626.00",3,1
100SSTA30S,"16,035.00",8,8
100STC900S,"20,634.00",8,2
100STC920S,"12,475.00",64,54
100STCA20S,"15,000.00",12,11
100STN700S,"10,933.00",3,3
100STN900S,"29,817.00",1,1
100STP890S,"25,451.00",19,2
100STP950S,"28,133.00",8,4
100STR900S,"12,079.00",6,0
100STR920S,"14,601.00",46,1
100STR940S,"20,832.00",1,0
100STR960S,"19,790.00",1,1
100STRA00S,"14,774.00",7,4
100STRA20S,"21,626.00",11,7
100STRA50S,"20,173.00",1,0
100SVE860S,"17,391.00",7,3
100SVE900S,"19,306.00",4,3
100SVE910S,"28,053.00",2,0
100SVH780S,"28,593.00",3,3
100SVH870S,"13,119.00",2,2
100SVH900S,"26,607.00",2,0
100SVN900S,"16,858.00",1,0
100SVN970S,"10,757.00",4,4
100SWA940S,"24,819.00",9,5
100SZJ900S,"28,856.00",2,1
100SZN900S,"20,018.00",2,1
102SCC840S,"22,691.00",10,0
108SE8000S,"28,457.00",5,5
126463770S,"26,871.00",10,0
161404000S,"27,504.00","1,600","1,500"
401SFN970S,"29,685.00",4,4
401SRY900S,"27,138.00",46,0
401SRY970S,"29,517.00",4,2
401STC921S,"10,091.00","9,320","7,960"
401STN900S,"29,748.00",22,20
401STRA00S,"12,630.00",276,232
401STRA20S,"13,818.00",190,131
401SVE900S,"16,602.00",13,13
401SVN900S,"18,737.00",2,2
401SVN970S,"19,705.00",15,15
401SZJ900S,"20,935.00",1,1
410SFN970S,"21,189.00",5,5
410SRY900S,"16,039.00",5,5
410STC920S,"25,499.00",96,75
410STN900S,"14,432.00",16,16
410STRA00S,"16,780.00",140,0
410SVE860S,"19,859.00",11,11
410SVH871S,"11,942.00",20,20
410SVN900S,"10,307.00",5,0
410SWA941S,"20,984.00",100,50
410SZJ900S,"26,166.00",1,1
601SCT690S,"17,818.00",44,18
601SRY971S,"13,271.00",11,11
601STC920S,"28,689.00",31,22
601STN900S,"29,258.00",10,10
601STR920S,"11,727.00",2,0
601STR960S,"23,786.00",5,5
601STRA20S,"15,467.00",5,4
601SVE860S,"13,949.00",5,0
602SVN900S,"27,169.00",11,11
976SCT690S,"14,588.00",5,5
32S110S,"26,056.00",36,36
32S210S,"14,113.00",799,742
32S310S,"23,548.00",302,271
100198900S,"26,305.00",242,239
100198950S,"10,451.00",26,12
100GBG850S,"24,760.00",111,111
00SCC690AS,"14,954.00","1,140","1,056"
00SCC710AS,"11,211.00","1,614","1,548"
100SCC940S,"14,080.00",87,87
100SFN740S,"29,601.00",227,135
100SST920S,"20,304.00",40,17
00SST930AS,"11,308.00",8,0
100SST941S,"26,226.00",187,167
100SST951S,"29,079.00",424,352
100STC901S,"29,741.00",856,785
00STN901AS,"21,293.00",460,208
00STN921AS,"21,304.00",4,4
100STP890S,"20,053.00",283,267
100STR940S,"24,276.00",858,792
100SVE901S,"11,842.00",515,441
106MAZ003S,"14,026.00",20,20
10A198D00S,"20,523.00",2,0
10ASCC870S,"28,070.00",26,26
10ASRC760S,"15,227.00",120,0
10ASRY861S,"16,210.00",23,4
0ASRY930AS,"25,672.00",195,171
10ASRY971S,"19,669.00",66,49
10ASST900S,"20,775.00",39,16
10ASTCA20S,"26,589.00",404,265
10ASTRA21S,"27,354.00",612,434
10ASVE861S,"26,743.00",248,178
10ASVH901S,"17,791.00",138,83
10ASVN900S,"15,623.00",254,201
10ASWA830S,"28,769.00",345,244
10ASWA930S,"23,955.00",66,66
10ASWH960S,"21,153.00",41,41
10ASZJ901S,"19,232.00",29,23
10ASZN901S,"15,073.00",32,10
110SCC830S,"13,369.00",10,10
110SCC910S,"11,877.00",18,18
110SCC940S,"25,525.00",10,10
10SRY930AS,"28,669.00",1,1
110SRY971S,"23,847.00",50,0
110SST951S,"12,870.00",65,43
110STC901S,"10,186.00",252,180
10STN901AS,"16,624.00",180,2
110STR940S,"25,053.00",193,113
110STRA21S,"11,835.00",168,95
110SVE861S,"24,435.00",73,3
110SVE901S,"14,242.00",224,16
110SVH900S,"26,963.00",21,0
110SVN900S,"18,697.00",120,0
110SZJ901S,"12,511.00",1,0
119SRY901S,"28,500.00",5,5
120GBG850S,"21,485.00",52,52
20SCC690AS,"18,742.00",216,192
20SCC710AS,"17,385.00",15,15
120SCC870S,"17,652.00",8,1
120SCC940S,"10,353.00",2,2
120SFN740S,"17,780.00",28,17
120SST900S,"15,106.00",4,1
20SST930AS,"24,121.00",4,0
120SST941S,"27,114.00",41,2
120STP890S,"11,808.00",138,13
120SZN901S,"19,520.00",22,13
121198900S,"26,506.00",22,22
130GBG850S,"17,397.00",20,20
130SZN901S,"14,969.00",1,0
150SRY971S,"28,809.00",2,2
150STC901S,"19,215.00",5,5
150STN900S,"12,078.00",1,1
180SVE901S,"28,626.00",129,105
185SVE901S,"25,849.00",8,4
186SVE901S,"11,129.00",164,164
186SVE930S,"23,140.00",19,13
18ASVE930S,"14,081.00",320,256
301SVE900S,"16,140.00",700,30
301SVN900S,"13,070.00",185,151
302SVN900S,"17,898.00",98,88
400198920S,"17,675.00",16,8
400SAG900S,"21,082.00",9,9
400SCC900S,"28,537.00",30,10
400SCC901S,"19,292.00",20,0
400SRY901S,"29,246.00",40,0
400SST930S,"10,127.00",2,2
400SST940S,"17,519.00",7,0
400SST950S,"27,718.00",23,18
400STC900S,"27,035.00",475,242
400STN900S,"29,784.00",17,13
400STP890S,"27,976.00",95,29
400STR901S,"23,692.00",55,48
400SVE901S,"15,557.00",27,10
401STR901S,"13,010.00",10,4
402GBG850S,"20,896.00",42,42
402SCC690S,"13,207.00",16,8
02SCC690ZS,"24,572.00",264,238
402SCC710S,"24,146.00",60,60
402SCC730S,"24,655.00",60,40
402SCC830S,"22,086.00",900,840
402SCC900S,"23,582.00",220,220
402SRY901S,"11,489.00",5,5
402SRY930S,"24,992.00",33,0
402STP890S,"27,737.00",5,5
402SVE861S,"18,098.00",62,14
402SVE930S,"20,160.00",60,0
402SWH960S,"18,679.00","1,200","1,060"
403STR841S,"20,463.00",90,60
403STR901S,"12,039.00",52,0
407SCC900S,"20,097.00",100,80
40ASCC690S,"18,817.00",110,110
40ASCC710S,"26,692.00",171,171
40ASCC730S,"29,666.00",713,739
40ASCC830S,"24,665.00","1,030","1,030"
40ASRY861S,"12,563.00",36,31
40ASRY930S,"19,997.00",227,103
40ASRY970S,"29,467.00",186,77
40ASTCA21S,"11,622.00",242,109
40ASTR841S,"15,955.00",261,21
40ASTRA21S,"11,609.00",505,152
ASVE861ZAS,"11,350.00",215,116
ASVE861ZBS,"28,073.00",164,38
ASVE861ZCS,"17,831.00",8,0
ASVE861ZDS,"16,087.00",19,19
ASVE861ZES,"17,793.00",3,3
ASVE930ZAS,"19,039.00",88,60
ASVE930ZCS,"15,713.00",50,28
40ASVH760S,"29,874.00",13,1
40ASVH900S,"15,528.00",94,76
40ASVN900S,"15,069.00",806,679
40ASWA930S,"17,834.00",300,250
40ASWH961S,"15,850.00",469,459
40ASZJ901S,"26,029.00",17,5
